Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
GetAccelerateConfiguration,"Grants permission to uses the accelerate subresource to return the Transfer Acceleration state of a bucket, which is either Enabled or Suspended",Read,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
GetAccessPoint,Grants permission to return configuration information about the specified access point,Read,,s3:DataAccessPointAccount  s3:DataAccessPointArn  s3:AccessPointNetworkOrigin  s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
GetAccessPointConfigurationForObjectLambda,Grants permission to retrieve the configuration of the object lambda enabled access point,Read,objectlambdaaccesspoint*,,
GetAccessPointConfigurationForObjectLambda,Grants permission to retrieve the configuration of the object lambda enabled access point,Read,,s3:DataAccessPointArn  s3:DataAccessPointAccount  s3:AccessPointNetworkOrigin  s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
GetAccessPointForObjectLambda,Grants permission to create an object lambda enabled accesspoint,Read,objectlambdaaccesspoint*,,
GetAccessPointForObjectLambda,Grants permission to create an object lambda enabled accesspoint,Read,,s3:DataAccessPointAccount  s3:DataAccessPointArn  s3:AccessPointNetworkOrigin  s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
GetAccessPointPolicy,Grants permission to returns the access point policy associated with the specified access point,Read,accesspoint*,,
GetAccessPointPolicy,Grants permission to returns the access point policy associated with the specified access point,Read,,s3:DataAccessPointAccount  s3:DataAccessPointArn  s3:AccessPointNetworkOrigin  s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
GetAccessPointPolicyForObjectLambda,Grants permission to returns the access point policy associated with the specified object lambda enabled access point,Read,objectlambdaaccesspoint*,,
GetAccessPointPolicyForObjectLambda,Grants permission to returns the access point policy associated with the specified object lambda enabled access point,Read,,s3:DataAccessPointAccount  s3:DataAccessPointArn  s3:AccessPointNetworkOrigin  s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
GetAccessPointPolicyStatus,Grants permission to return the policy status for a specific access point policy,Read,,s3:DataAccessPointAccount  s3:DataAccessPointArn  s3:AccessPointNetworkOrigin  s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
GetAccessPointPolicyStatus,Grants permission to return the policy status for a specific access point policy,Read,accesspoint*,,
GetAccessPointPolicyStatusForObjectLambda,Grants permission to return the policy status for a specific object lambda access point policy,Read,,s3:DataAccessPointAccount  s3:DataAccessPointArn  s3:AccessPointNetworkOrigin  s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
GetAccessPointPolicyStatusForObjectLambda,Grants permission to return the policy status for a specific object lambda access point policy,Read,objectlambdaaccesspoint*,,
GetAccountPublicAccessBlock,Grants permission to retrieve the PublicAccessBlock configuration for an AWS account,Read,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
GetAnalyticsConfiguration,"Grants permission to get an analytics configuration from an Amazon S3 bucket, identified by the analytics configuration ID",Read,bucket*,,
GetAnalyticsConfiguration,"Grants permission to get an analytics configuration from an Amazon S3 bucket, identified by the analytics configuration ID",Read,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
GetBucketAcl,Grants permission to use the acl subresource to return the access control list (ACL) of an Amazon S3 bucket,Read,bucket*,,
GetBucketAcl,Grants permission to use the acl subresource to return the access control list (ACL) of an Amazon S3 bucket,Read,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
GetBucketCORS,Grants permission to return the CORS configuration information set for an Amazon S3 bucket,Read,bucket*,,
GetBucketCORS,Grants permission to return the CORS configuration information set for an Amazon S3 bucket,Read,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
GetBucketLocation,Grants permission to return the Region that an Amazon S3 bucket resides in,Read,bucket*,,
GetBucketLocation,Grants permission to return the Region that an Amazon S3 bucket resides in,Read,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
GetBucketLogging,Grants permission to return the logging status of an Amazon S3 bucket and the permissions users have to view or modify that status,Read,bucket*,,
GetBucketLogging,Grants permission to return the logging status of an Amazon S3 bucket and the permissions users have to view or modify that status,Read,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
GetBucketNotification,Grants permission to get the notification configuration of an Amazon S3 bucket,Read,bucket*,,
GetBucketNotification,Grants permission to get the notification configuration of an Amazon S3 bucket,Read,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
GetBucketObjectLockConfiguration,Grants permission to get the Object Lock configuration of an Amazon S3 bucket,Read,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:signatureversion,
GetBucketObjectLockConfiguration,Grants permission to get the Object Lock configuration of an Amazon S3 bucket,Read,bucket*,,
GetBucketOwnershipControls,Grants permission to retrieve ownership controls on a bucket,Read,bucket*,,
GetBucketOwnershipControls,Grants permission to retrieve ownership controls on a bucket,Read,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
GetBucketPolicy,Grants permission to return the policy of the specified bucket,Read,bucket*,,
GetBucketPolicy,Grants permission to return the policy of the specified bucket,Read,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
GetBucketPolicyStatus,"Grants permission to retrieve the policy status for a specific Amazon S3 bucket, which indicates whether the bucket is public",Read,bucket*,,
GetBucketPolicyStatus,"Grants permission to retrieve the policy status for a specific Amazon S3 bucket, which indicates whether the bucket is public",Read,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
GetBucketPublicAccessBlock,Grants permission to retrieve the PublicAccessBlock configuration for an Amazon S3 bucket,Read,bucket*,,
GetBucketPublicAccessBlock,Grants permission to retrieve the PublicAccessBlock configuration for an Amazon S3 bucket,Read,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
GetBucketRequestPayment,Grants permission to return the request payment configuration for an Amazon S3 bucket,Read,bucket*,,
GetBucketRequestPayment,Grants permission to return the request payment configuration for an Amazon S3 bucket,Read,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
GetBucketTagging,Grants permission to return the tag set associated with an Amazon S3 bucket,Read,bucket*,,
GetBucketTagging,Grants permission to return the tag set associated with an Amazon S3 bucket,Read,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
GetBucketVersioning,Grants permission to return the versioning state of an Amazon S3 bucket,Read,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
GetBucketVersioning,Grants permission to return the versioning state of an Amazon S3 bucket,Read,bucket*,,
GetBucketWebsite,Grants permission to return the website configuration for an Amazon S3 bucket,Read,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
GetBucketWebsite,Grants permission to return the website configuration for an Amazon S3 bucket,Read,bucket*,,
GetEncryptionConfiguration,Grants permission to return the default encryption configuration an Amazon S3 bucket,Read,bucket*,,
GetEncryptionConfiguration,Grants permission to return the default encryption configuration an Amazon S3 bucket,Read,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
GetIntelligentTieringConfiguration,Grants permission to get an or list all Amazon S3 Intelligent Tiering configuration in a S3 Bucket,Read,bucket*,,
GetIntelligentTieringConfiguration,Grants permission to get an or list all Amazon S3 Intelligent Tiering configuration in a S3 Bucket,Read,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
GetInventoryConfiguration,"Grants permission to return an inventory configuration from an Amazon S3 bucket, identified by the inventory configuration ID",Read,bucket*,,
GetInventoryConfiguration,"Grants permission to return an inventory configuration from an Amazon S3 bucket, identified by the inventory configuration ID",Read,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
GetJobTagging,Grants permission to return the tag set of an existing Amazon S3 Batch Operations job,Read,job*,,
GetJobTagging,Grants permission to return the tag set of an existing Amazon S3 Batch Operations job,Read,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
GetLifecycleConfiguration,Grants permission to return the lifecycle configuration information set on an Amazon S3 bucket,Read,bucket*,,
GetLifecycleConfiguration,Grants permission to return the lifecycle configuration information set on an Amazon S3 bucket,Read,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
GetMetricsConfiguration,Grants permission to get a metrics configuration from an Amazon S3 bucket,Read,bucket*,,
GetMetricsConfiguration,Grants permission to get a metrics configuration from an Amazon S3 bucket,Read,,s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
GetMultiRegionAccessPoint,Grants permission to return configuration information about the specified multi region access point,Read,multiregionaccesspoint*,,
GetMultiRegionAccessPoint,Grants permission to return configuration information about the specified multi region access point,Read,,s3:DataAccessPointAccount  s3:DataAccessPointArn  s3:AccessPointNetworkOrigin  s3:authType  s3:ResourceAccount  s3:signatureversion  s3:signatureAge  s3:TlsVersion,
GetMultiRegionAccessPointPolicy,Grants permission to returns the access point policy associated with the specified multi region access point,Read,,s3:DataAccessPointAccount  s3:DataAccessPointArn  s3:AccessPointNetworkOrigin  s3:authType  s3:ResourceAccount  s3:signatureversion  s3:signatureAge  s3:TlsVersion,
GetMultiRegionAccessPointPolicy,Grants permission to returns the access point policy associated with the specified multi region access point,Read,multiregionaccesspoint*,,
GetMultiRegionAccessPointPolicyStatus,Grants permission to return the policy status for a specific multi region access point policy,Read,multiregionaccesspoint*,,
GetMultiRegionAccessPointPolicyStatus,Grants permission to return the policy status for a specific multi region access point policy,Read,,s3:DataAccessPointAccount  s3:DataAccessPointArn  s3:AccessPointNetworkOrigin  s3:authType  s3:ResourceAccount  s3:signatureversion  s3:signatureAge  s3:TlsVersion,
GetObject,Grants permission to retrieve objects from Amazon S3,Read,object*,,
GetObject,Grants permission to retrieve objects from Amazon S3,Read,,s3:DataAccessPointAccount  s3:DataAccessPointArn  s3:AccessPointNetworkOrigin  s3:ExistingObjectTag/<key>  s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
GetObjectAcl,Grants permission to return the access control list (ACL) of an object,Read,object*,,
GetObjectAcl,Grants permission to return the access control list (ACL) of an object,Read,,s3:DataAccessPointAccount  s3:DataAccessPointArn  s3:AccessPointNetworkOrigin  s3:ExistingObjectTag/<key>  s3:authType  s3:ResourceAccount  s3:signatureAge  s3:signatureversion  s3:TlsVersion  s3:x-amz-content-sha256,
GetObjectAttributes,Grants permission to retrieve attributes related to a specific object,Read,object*,,
