Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
CreateApp,Grants permission to create an App for a SageMaker Studio UserProfile,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  sagemaker:InstanceTypes  sagemaker:ImageArns  sagemaker:ImageVersionArns,
CreateAppImageConfig,Grants permission to create an AppImageConfig,Write,app-image-config*,,
CreateAppImageConfig,Grants permission to create an AppImageConfig,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
CreateArtifact,Grants permission to create an artifact,Write,artifact*,,
CreateArtifact,Grants permission to create an artifact,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
CreateAutoMLJob,Grants permission to create an AutoML job,Write,automl-job*,,iam:PassRole
CreateAutoMLJob,Grants permission to create an AutoML job,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  sagemaker:InterContainerTrafficEncryption  sagemaker:OutputKmsKey  sagemaker:VolumeKmsKey  sagemaker:VpcSecurityGroupIds  sagemaker:VpcSubnets,
CreateCodeRepository,Grants permission to create a CodeRepository,Write,code-repository*,,
CreateCodeRepository,Grants permission to create a CodeRepository,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
CreateCompilationJob,Grants permission to create a compilation job,Write,compilation-job*,,iam:PassRole
CreateCompilationJob,Grants permission to create a compilation job,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
CreateContext,Grants permission to create a context,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
CreateContext,Grants permission to create a context,Write,context*,,
CreateDataQualityJobDefinition,Grants permission to create a data quality job definition,Write,data-quality-job-definition*,,iam:PassRole
CreateDataQualityJobDefinition,Grants permission to create a data quality job definition,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  sagemaker:InstanceTypes  sagemaker:InterContainerTrafficEncryption  sagemaker:MaxRuntimeInSeconds  sagemaker:NetworkIsolation  sagemaker:OutputKmsKey  sagemaker:VolumeKmsKey  sagemaker:VpcSecurityGroupIds  sagemaker:VpcSubnets,
CreateDeviceFleet,Grants permission to create a device fleet,Write,device-fleet*,,iam:PassRole
CreateDeviceFleet,Grants permission to create a device fleet,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
CreateDomain,Grants permission to create a Domain for SageMaker Studio,Write,domain*,,iam:CreateServiceLinkedRole  iam:PassRole
CreateDomain,Grants permission to create a Domain for SageMaker Studio,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  sagemaker:AppNetworkAccessType  sagemaker:InstanceTypes  sagemaker:VpcSecurityGroupIds  sagemaker:VpcSubnets  sagemaker:DomainSharingOutputKmsKey  sagemaker:VolumeKmsKey  sagemaker:ImageArns  sagemaker:ImageVersionArns,
CreateEdgePackagingJob,Grants permission to create an edge packaging job,Write,edge-packaging-job*,,iam:PassRole
CreateEdgePackagingJob,Grants permission to create an edge packaging job,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
CreateEndpoint,Grants permission to create an endpoint using the endpoint configuration specified in the request,Write,endpoint*,,
CreateEndpoint,Grants permission to create an endpoint using the endpoint configuration specified in the request,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
CreateEndpointConfig,Grants permission to create an endpoint configuration that can be deployed using Amazon SageMaker hosting services,Write,endpoint-config*,,
