Resource types,ARN,Condition keys
alias,arn:${Partition}:kms:${Region}:${Account}:alias/${Alias},
key,arn:${Partition}:kms:${Region}:${Account}:key/${KeyId},aws:ResourceTag/${TagKey}  kms:KeyOrigin  kms:KeySpec  kms:KeyUsage  kms:MultiRegion  kms:MultiRegionKeyType  kms:ResourceAliases
